Distance_km,Transport_Mode,Weather,Traffic_Level,Fuel_Price,Carrier_Rating,Warehouse_Time_hr,Delivery_Delay_hr
910,Truck,Clear,High,110.15620830895193,1.4,36,29.68
1344,Air,Storm,High,91.33369903079024,2.7,17,37.4
1180,Air,Storm,Medium,101.7457117656032,1.9,46,47.14
1145,Air,Fog,Low,112.81496633580585,2.0,15,8.75
1688,Truck,Rainy,Low,94.53048441558697,3.0,39,22.89
2219,Rail,Clear,Low,80.83433218526963,4.2,4,27.49
516,Air,Rainy,Medium,78.48617198739365,4.0,17,4.77
1288,Air,Rainy,Low,70.00788722890283,3.4,38,26.34
380,Truck,Storm,Low,105.91189974906422,3.2,11,9.44
1532,Ship,Clear,Low,75.55486044229953,2.7,12,18.37
2185,Ship,Clear,High,82.19195498479702,4.9,47,48.35
2969,Rail,Storm,Medium,84.89381657613967,3.2,32,50.79
180,Rail,Rainy,High,98.01899300683841,2.0,27,28.0
1735,Air,Storm,High,89.89786386478846,1.9,44,51.92
819,Truck,Fog,Medium,103.7336996011581,3.4,43,21.58
2441,Air,Clear,High,72.78193296643514,3.1,27,40.87
1565,Rail,Fog,Low,76.19695971322197,1.0,40,35.97
2903,Truck,Storm,Low,94.96057517666334,4.3,44,53.57
2483,Truck,Clear,Low,86.8482393923415,3.8,29,25.31
1265,Rail,Fog,Low,84.79066813756799,3.6,9,11.51
1005,Ship,Fog,Medium,73.35140395187614,1.3,43,27.08
2374,Ship,Rainy,High,114.78595873740008,2.4,3,25.54
1234,Truck,Clear,High,104.59092930625255,4.7,39,30.6
509,Air,Fog,Low,76.08090784098246,4.5,29,5.78
71,Ship,Fog,Low,73.25229788685704,2.1,21,1.33
2350,Air,Rainy,High,118.74362667156215,1.6,35,32.72
797,Ship,Fog,Medium,104.05862752197524,2.8,10,16.11
2954,Ship,Fog,High,90.87280355468707,2.4,23,47.02
524,Air,Fog,Low,105.08655203778923,3.7,39,16.76
1132,Rail,Rainy,Low,107.81658932400796,4.9,25,10.68
2608,Ship,Fog,Medium,108.99811011943896,2.5,24,18.7
2097,Ship,Fog,High,93.89386528265288,1.2,20,32.93
2797,Air,Clear,Medium,91.4941379062424,4.6,15,29.85
1025,Rail,Clear,Medium,70.55140421344501,1.2,21,23.06
1856,Ship,Rainy,Low,116.3278557570919,4.8,42,33.17
239,Ship,Storm,High,100.16539391944715,3.7,12,19.78
2784,Rail,Clear,Low,80.1576968594984,4.8,18,33.76
612,Ship,Rainy,High,115.98017097107183,1.8,23,20.38
1949,Rail,Fog,Low,115.74659508851482,1.2,41,43.02
1317,Rail,Fog,Low,119.4592082183048,3.0,29,19.75
2929,Air,Rainy,High,113.70282815694894,2.8,41,47.78
1578,Truck,Fog,High,119.88921939100324,2.3,36,32.15
696,Rail,Fog,Low,82.23430940616363,4.8,5,-5.46
2118,Air,Storm,High,112.1124792599617,4.3,39,53.38
2938,Truck,Fog,Low,111.15141543978822,3.6,26,31.47
2264,Ship,Clear,High,81.54701796103669,1.7,39,41.57
1347,Truck,Fog,Low,74.92187745004954,3.9,11,14.74
2485,Rail,Rainy,Low,118.97102568387999,3.9,42,39.69
650,Rail,Storm,Low,84.80122757603051,2.7,11,21.41
2413,Rail,Fog,Medium,113.5445895233903,4.7,18,26.29
2111,Rail,Rainy,High,70.2063577337302,1.7,12,27.94
291,Rail,Clear,Low,71.05124036098012,2.1,16,7.09
2091,Air,Fog,Medium,93.29356543481842,1.3,27,32.44
2874,Rail,Storm,Low,81.93573419675317,4.2,36,43.74
2662,Air,Fog,Medium,104.4920641717982,3.5,17,22.6
2995,Ship,Rainy,Low,98.27821627839772,2.3,21,32.45
1413,Rail,Storm,Low,73.87428987252457,1.7,37,49.41
2189,Rail,Fog,Medium,78.13141481578586,1.2,31,32.93
1440,Truck,Clear,Medium,89.40246350292071,1.7,45,39.66
1528,Ship,Storm,High,79.28020319777166,2.8,35,42.84
2606,Rail,Clear,High,109.61111736219644,2.0,27,48.0
825,Rail,Rainy,Medium,90.803511777664,2.0,23,20.26
84,Ship,Fog,High,74.67159334212496,4.5,32,20.6
2303,Air,Clear,Medium,94.21714511360625,3.1,17,27.27
2005,Rail,Rainy,High,74.54190905307071,3.9,11,32.64
1635,Truck,Fog,Low,76.44686527099086,1.1,1,16.54
1071,Rail,Rainy,High,81.98049160141026,2.5,28,36.28
2663,Truck,Clear,Low,112.97638526237449,2.9,18,21.73
1179,Truck,Rainy,Low,116.23062661664859,1.7,41,30.63
1550,Rail,Storm,High,111.31288646660346,1.5,20,41.92
752,Rail,Fog,Medium,86.70386087089236,4.5,7,-2.66
2499,Truck,Rainy,Low,83.62232205544159,4.8,37,36.79
2827,Ship,Clear,Low,97.45778453951196,1.3,16,26.22
1629,Ship,Fog,High,106.09265802665561,2.4,39,35.72
211,Rail,Storm,Medium,119.66863940800874,4.8,45,15.01
251,Air,Fog,Medium,76.57853559394631,1.3,45,30.2
2031,Ship,Storm,High,72.46459995119022,3.6,47,53.45
1045,Rail,Fog,Medium,104.71779444976355,4.9,23,22.98
2367,Ship,Rainy,High,111.61128917519528,4.9,32,41.88
865,Air,Rainy,High,112.31743899332116,2.9,17,21.59
505,Rail,Clear,High,103.92317745385803,1.7,19,16.22
1325,Air,Storm,Low,117.70079020595935,1.8,42,35.42
1066,Rail,Clear,Low,95.55023817722935,4.6,34,21.07
2393,Air,Rainy,Low,115.69073991681063,4.6,14,21.37
2817,Ship,Storm,High,118.39060684957616,3.4,3,34.17
387,Ship,Clear,Low,112.35787285015539,4.1,39,7.59
928,Air,Clear,Low,85.48792816293103,4.0,25,8.99
1126,Air,Clear,Low,79.81078255851476,3.6,11,18.66
841,Air,Clear,High,97.40600324909093,4.3,15,26.38
2314,Rail,Clear,High,92.65073751900943,3.7,19,34.26
813,Ship,Storm,High,113.88791710963665,3.1,43,42.17
2285,Rail,Clear,Low,75.00158355335769,1.9,15,24.87
429,Ship,Storm,Medium,82.88700306557593,4.0,15,9.12
542,Truck,Clear,Low,107.58994722593542,2.9,38,25.5
1230,Rail,Rainy,Low,74.74933224886561,2.2,15,24.77
2112,Ship,Rainy,High,86.03822070108501,4.2,9,20.75
114,Ship,Clear,High,89.35776970269916,3.8,5,3.63
2618,Rail,Fog,Low,101.1296898281345,4.7,19,24.03
1417,Rail,Rainy,Low,77.90663228596823,1.7,24,20.67
1202,Ship,Storm,Medium,113.03022451748548,3.6,29,35.25
2077,Rail,Clear,Medium,92.37711177331371,2.0,5,12.71
2745,Air,Storm,High,115.85108559402782,4.6,22,49.58
1545,Rail,Fog,Medium,93.39349568169658,1.4,13,22.79
1212,Rail,Clear,Medium,83.75201294703666,3.6,47,27.71
1572,Rail,Rainy,High,77.09144143438374,4.2,46,42.79
2690,Ship,Storm,Medium,70.18725473556424,2.4,29,47.34
441,Air,Rainy,Low,96.60787424924177,4.8,16,8.9
1748,Truck,Rainy,Medium,75.35783484634617,4.4,36,19.07
468,Truck,Clear,High,89.5863881815589,2.2,17,15.04
2386,Air,Storm,Low,99.46358806185434,1.0,20,41.5
428,Air,Fog,Medium,83.78429484513501,2.2,14,-6.48
1846,Air,Rainy,Low,78.76121461830576,2.1,6,11.83
2328,Ship,Clear,Low,108.73608113046708,4.6,22,21.01
2138,Truck,Clear,Medium,117.33955861408103,4.9,40,36.32
2232,Air,Fog,Medium,75.0220208930983,1.3,9,20.69
250,Ship,Clear,High,77.7795162192504,2.9,32,16.61
1913,Truck,Rainy,High,118.00063286263594,3.2,24,36.82
829,Rail,Clear,Low,71.88921109061232,1.4,33,13.9
552,Ship,Storm,High,118.8816168275236,2.5,13,14.66
2504,Truck,Storm,Low,70.23222415424944,2.3,35,46.13
1801,Ship,Rainy,Low,113.68343278256657,3.1,6,7.57
854,Truck,Storm,High,85.36625904938748,3.6,40,32.29
2196,Truck,Fog,High,116.92944290886483,3.8,30,40.23
2781,Rail,Clear,High,85.84726443177928,1.5,38,56.19
1945,Ship,Rainy,Medium,102.7153160767028,4.3,16,22.79
2823,Air,Fog,Low,74.00162848829683,3.7,1,26.87
1620,Rail,Clear,Low,82.11649057268696,4.6,42,34.21
1010,Rail,Fog,Low,108.68396732396253,2.8,18,2.86
2710,Truck,Rainy,High,96.43429268394098,4.6,22,39.15
1535,Air,Rainy,High,116.39845308935224,4.5,26,24.7
2740,Ship,Fog,High,91.43757041706772,2.8,14,33.06
1078,Air,Clear,High,113.49061829069615,2.5,37,35.08
552,Air,Storm,High,92.44777187391188,4.7,14,12.47
2864,Air,Storm,Medium,118.96241393509926,3.9,26,35.08
447,Air,Fog,High,117.99171906994384,4.7,36,24.24
920,Air,Rainy,Low,86.45683527780402,4.2,23,14.74
2892,Truck,Clear,High,114.29618352084016,3.4,2,31.8
442,Truck,Clear,Low,112.38056871078246,1.5,39,16.52
256,Rail,Rainy,High,80.53401986637815,2.2,7,13.38
1088,Truck,Storm,High,101.21452003916349,4.9,39,41.98
1931,Rail,Clear,Low,73.63411577949074,2.3,45,37.64
2989,Rail,Fog,Low,111.83553602917308,1.4,22,32.2
1534,Ship,Storm,Low,78.72729417517482,3.8,28,29.61
913,Air,Fog,Low,73.54073506928823,3.9,38,24.52
2840,Truck,Storm,Medium,90.01095477694057,2.1,20,50.84
613,Ship,Rainy,Low,98.84610692998217,2.2,18,9.1
1070,Truck,Fog,High,112.74584792798855,2.9,24,23.65
145,Rail,Fog,High,118.71212627608682,1.1,33,22.94
1973,Truck,Rainy,Medium,91.97462562849319,4.2,45,35.2
1807,Air,Fog,Low,73.02234614926351,2.3,26,23.56
2582,Rail,Storm,High,107.45577895129352,4.4,19,30.05
2328,Rail,Clear,Medium,98.25866281119687,4.2,42,41.84
2846,Ship,Clear,High,92.39456724222316,3.6,13,44.73
1728,Air,Rainy,Medium,85.46344393960948,2.3,10,14.62
590,Rail,Storm,Medium,95.11992639217678,3.1,14,11.37
1109,Air,Fog,Low,86.93398022285155,2.8,9,9.3
2622,Truck,Fog,Medium,107.85059338736801,2.4,11,25.98
1233,Air,Clear,High,97.19468482463205,4.4,3,18.01
1772,Rail,Fog,High,113.8423887077056,2.9,40,40.19
1869,Ship,Clear,Low,97.1771957324721,4.3,12,12.13
2675,Rail,Rainy,Low,81.9131206669965,1.4,35,34.86
2779,Air,Fog,Medium,112.55459411160723,1.6,39,48.42
2654,Air,Storm,Low,97.8609522465022,4.9,46,52.74
1647,Rail,Fog,High,80.34205190717806,3.4,39,42.47
2743,Air,Clear,High,101.17539049781111,3.0,32,40.59
845,Truck,Rainy,Low,87.88583824712137,3.1,39,30.94
1101,Rail,Clear,Low,112.2202806146033,1.9,14,5.49
1693,Ship,Fog,Low,92.66498693232714,3.9,44,34.68
1413,Rail,Clear,Medium,106.32206790537083,1.3,1,2.48
2031,Truck,Clear,Medium,74.77681038181186,3.3,27,23.26
1404,Truck,Rainy,High,89.80121731511731,3.3,37,41.75
1713,Truck,Storm,Medium,119.16207182361993,4.7,43,43.39
1579,Truck,Fog,Medium,110.42301447385742,3.1,1,7.36
2088,Truck,Rainy,Medium,77.99704011834643,1.5,45,37.79
1546,Ship,Storm,Medium,83.88820247386275,3.3,29,33.86
